,0
835,"As a repository manager, I want to indicate all subjects that are pertinent to a collection, object, or object component. "
836,"As a user, I want to search for collections, objects, and object components by pertinent such headings, including title, topic, genre/form, geographical name, function, occupation, name, cartographics, etc. "
837,"As a repository manager, I want to indicate the geo-coordinates for any resource that believe useful to an end user. "
838,"As a user, I want to see the geographical context of a collection, object, or object component, where pertinent. "
839,"As a repository manager, I want to indicate all other pertinent versions or descriptions of a resource that are external to the DAMS. "
840,"As a user, I want to know of all other pertinent versions or descriptions of the resource. "
841,"As a repository manager, I want to know if the checksum for any of my repository's content files that have changed."
842,"As a DAMS manager, I want to know, via the preservation manager, of all files for which the checksum has changed since last registered."
843,"As a repository manager, I want to know, where pertinent, the hardware and software used to generate a content file. "
844,"As a DAMS manager, I want to know what objects or object components are still under copyright and cannot be displayed without either a license or incurring risk. "
845,"As a DAMS manager, I want to know when copyright for an object or object component is likely to expire per jurisdictional copyright statute. "
846,"As a DAMS manager, I want to know when the copyright status for an object or object component is modified, either manually or automatically. "
847,"As a user, I want to know if an object or object component is under copyright and, where possible, who the rights holder is. "
848,"As a DAMS manager, I want to know all the statutes pertinent to an object or object component. "
849,"As a DAMS manager, I want to know when the pertinence of a statute to a object or object component is scheduled to expire. "
850,"As a DAMS manager, I want to know when the application of a statute to an object or object component has been modified, either manually or automatically. "
851,"As a DAMS manager, I want to know if copyrighted content has an applicable license. "
852,"As a DAMS manager, I want to know if an object or object component is subject to a library policy that restricts access in any way. "
853,"As a DAMS manager, I want to know when application of a library policy to an object or object component is scheduled to expire. "
854,"As a DAMS manager, I want to know if application of a library policy to an object or object component has been modified, either manually or automatically."
855,"As a DAMS manager, I want to know all the uses for an object or object component that are permitted or restricted per the rights status of the object or object component."
856,"As a DAMS manager, I want know the dates for when a permission or restriction is active. "
857,"As a DAMS manager, I want to know when permitted and restricted acts and/or their active dates are modified. "
858,"As a DAMS manager, I want to track all events scheduled for recording in the DAMS. "
859,"As a DAMS manager, I want to know the agent(s) responsible for carrying out an event. "
860,"As a DAMS manager, I want to know when the event occurred. "
861,"As a DAMS manager, I want to know the outcome of the event, e.g., object NN was deleted. "
862,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators."
863,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game."
864,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it."
865,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___""."
866,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it."
867,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing."
868,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item."
869,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it."
870,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate."
871,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree."
872,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly."
873,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree."
874,"As a moderator, I want to estimate a story we estimated earlier in the session again, so that we can give a new estimate if we feel different about the story after estimating other related stories."
875,"As a moderator, I want to import stories from a spreadsheet, so that I don't have to copy and paste each individual story."
876,"As a moderator, I want to copy/paste stories from a spreadsheet, so that I can get started more quickly."
877,"As a moderator, I want to browse through previous games, so that I can find the previous game I’m looking for."
878,"As a moderator, I want to view a transcript of a game, so that I can see the stories and estimates."
879,"As a moderator, I want to export a transcript of a game as a HTML file, so that I can save the stories and estimates locally."
880,"As a moderator, I want to export a transcript of a game as a CSV file, so that I can further process the stories and estimates."
881,"As a moderator, I want to delete a game, so that stories and estimates for this game are no longer stored."
882,"As a moderator, I want to create an account for the application by entering my name, email address, a password and a username, so that I can start using the application."
883,"As a moderator, I want to log in using my account name and password, so that I can start using the application."
884,"As a moderator, I want to change my account details, so that I can keep my account details up-to-date."
885,"As a moderator, I want to delete my account, so that account information and games are no longer stored."
886,"As a moderator, I want to see dates and times in my local timezone, so that I don't have to do timezone conversion myself."
887,"As a moderator, I want to get a password reminder by email, so that I can get back to using the application when I've forgotten my password."
888,"As a moderator, I want to select whether to have the team estimate with {0, 1/2, 1, 2, 3, 5, 8, etc.} or {0, 1, 2, 4, 8, 16, 32, etc.}, so that the team can use either the modified Fibonacci sequence or powers of 2."
889,"As a moderator, I want to invite up to 15 estimators, so that we can play with large but not immense teams."
890,"As an estimator, I want to join a game by entering my name on the page I received the URL for, so that I can participate."
891,"As an estimator, I want to see the item we’re estimating, so that I know what I’m giving an estimate for."
892,"As an estimator, I want to see all items we will try to estimate this session, so that I have a feel for the sizes of the various items."
893,"As a participant, I want to immediately see that an estimate has been given by a specific estimator, so that I know who has already given an estimate and who we’re still waiting for."
894,"As a participant, I want to be shown all estimates at the same time after all estimators have given their estimate, so that I can be sure estimates are independent and not influenced by other estimates given in the same draw."
895,"As a participant, I want to be able to change my estimate up until the last person selects a card and all are shown, so that I can change my mind based on information I hear."
896,"As a participant, I want to be able to see each estimator's prior estimates for the story being estimated, so that I can see how his or her opinion has changed so I can ask questions."
897,"As a participant, I want to see who gave what estimates during the current round, so that I know this when we’re discussing the estimates."
898,"As a participant, I want to be able start a two-minute countdown timer that all participants can see, so that I can limit the time spent discussing the estimates when I think we’ve talked long enough."
899,"As a participant, I want to have the two-minute timer reset itself as soon as we all play an estimate, so that it's ready for use on the next round."
900,"As a participant, I want to scroll back through the stories and estimates from prior rounds, so that I can use this information when I estimate the item of the current round."
901,"As a participant, I want to always have the cards in the same order across multiple draws, so that it's easy to compare estimates."
902,"As a participant, I want to change my estimate as long as the draw has not been completed, so that I can change my mind."
903,"As a participant, I want to have a small thumbnail photo displayed near where my cards are played, so that the game is more personal because I see who I'm estimating with."
904,"As a developer, I want to have written a site which is compliant with XHTML and CSS standards, so that as many people as possible can access the site and view it as intended."
905,"As a developer, I want to have a list of definitions for commonly used terms, so that everyone working on the project can understand each other more easily."
906,"As a developer, I want to have created database indexes, so that the queries run as fast as possible."
907,"As a developer, I want to have the application function correctly in Internet Explorer 6 and 7, Firefox 1.5 and 2, and Safari 2, so that as many people as possible can fully use the application."
908,"As a developer, I want to have the site comply with the W3C accessibility guidelines where possible, so that people with accessibility issues can use the application."
909,"As a user, I want to have the application respond quickly to my actions, so that I don't get bored."
910,"As a user, I want to be able to use Unicode, so that I can use any language I like."
911,"As a user, I want to see sensible and predictable URLs, so that the application feels logical and transparent."
912,"As a user, I want to have nice error pages when something goes wrong, so that I can trust the system and its developers."
913,"As a Researcher, I want results to be stored in a non-identifiable way, so that I can study the data to see things like whether estimates converged around the first opinion given by ""estimator A"" for example."
914,"As a Mike, I want to be able to see some metrics on use of the game, so that I can see how much it is being used."
915,"As a researcher, I want to be able to view a finding aid for a particular collection/Resource."
916,"As an Application Administrator, I want to be able to reset a User's password for them."
917,"As a user, I want backend changes for managing enum lists."
918,"As an Archivist, I want to import EAD files that were exported by Archon."
919,"As an Archivist, I want to assign a component unique identifier to a Resource Component."
920,"As a User , I want to authenticate using LDAP."
921,"As a migration specialist, I want to store the AT or Archon source record ids in each ASpace record"
922,to support data migration integrity testing.
923,"As an Archivist, I want to associate a standard identifier string with a Subject heading."
924,"As an Archivist, I want to be able to understand that an error occurred during import and why it might have occurred."
925,"As an Archivist, I want to import Accessions data in CSV."
926,"As an Archivist, I want to import Resources from MARCXML records."
927,"As a user, I want frontend changes for managing enum lists."
928,"As an Authenticated User, I want to get access to links to contextual help."
929,"As an Archivist, I want to see Dates and Extents displayed in both the read and edit views for Accessions and/or Resources before the list of Subjects."
930,"As an Archivist, I want to import Agent information from EAC-CPF records."
931,"As a user, I want backend changes to support loading enum value lists from the database."
932,"As a user, I want backend changes for bulk updating one enum value to another."
933,"As an Archivist, I want to export agent records as EAC-CPF."
934,"As an Archivist, I want to import only Agent and Subject information from MARCXML records."
935,"As an Application Administrator, I want to assign Users to an Advanced Data Entry and ensure that the appropriate permissions are enforced."
936,"As an Application Administrator , I want to be able to configure the help center URL and topic mappings."
937,"As a user, I want to add additional properties for repositories."
938,"As an Archivist, I want to add Notes to other record types."
939,"As an Administrator, I want to create a new User account for someone else."
940,"As an Archivist, I want to add administrative data about the archival description and finding aid-related data to a top-level Resource."
941,"As an Archivist, I want to assign a Level of description to a Resource or Resource Component and optionally specify another value if the Level is not in a predefined list."
942,"As a developer, I want to use a configuration that is not prepackaged within a built version of application."
943,"As an Archivist, I want to import EAD files that were exported by the Archivists' Toolkit."
944,"As a systems administrator, I want to be able to control the location of the demo database and I want it to be backed up."
945,"As an archivist, I want to search within a repository for resource and accession and digital object records."
946,"As an archivist, I want to create and edit a Collection Management subrecord."
947,"As an Archivist, I want to rearrange the Resource and/or Digital Object hierarchy using keyboard-based navigation."
948,"As an Archivist, I want to rearrange the resource description hierarchy by dragging an archival object to a different position in the hierarchy."
949,"As an Archivist, I would like to indicate an Agent is either the creator or source or subject of an Accession or Resource or Resource Component."
950,"As an Archivist, I want to export a description as EAD."
951,"As an Archivist, I want to create and edit Event records."
952,"As an Archivist, I want to manage Digital Objects."
953,"As an Archivist, I want to associate an Instance with a Resource and/or Resource Component."
954,"As an Archivist, I don't want to inadvertently overwrite someone else's changes to a record that I'm editing."
955,"As an Archivist, I want to create and edit Rights Management statements."
956,"As an Archivist, I want to upload an EAD for import from within the frontend application."
957,"As an Archivist, I want to import EAD data."
958,"As a Repository Manager , I want to create, update and delete archival descriptions in my repository."
959,"As a Developer , I want to develop a custom importer."
960,"As a Basic Data Entry user , I want to create and update basic archival description information."
961,"As a Repository Manager , I want to create, update and delete any records in my repository."
962,"As a ReadOnly user , I want to view archival descriptions in my repository."
963,"As an System Administrator, I want to declare that a user is has the Repository Manager role for a given Repository."
964,"As an Archivist, I want to specify the Source for a Name Form of an Agent and add new Sources and edit existing Sources."
965,"As an Archivist, I want to create and edit Agent records."
966,"As an Archivist, I want to create and edit a Resource record."
967,"As an Archivist, I want to associate a Subject record with a Resource description."
968,"As a User, I want to authenticate locally."
969,"As User, I want to be able to log in."
970,"As an Archivist, I want to associate an Instance with a Container."
971,"As an Archivist, I want to assign Location information to a Container."
972,"As a anonymoususer, I want to view a list of sponsors, so that I can thank all the awesome sponsors."
973,"As a anonymoususer, I want to view a list of user profiles, so that I know who is attending the conference."
974,"As a trainingcoordinator, I want to email all the trainers at once from the website for info and updates, so that It is easier to use."
975,"As a attendee, I want to have a very clear map where the buildings and rooms are, so that I can make it to class on time."
976,"As a trainer, I want to edit my training node myself, so that the training coordinators don't have to and links to slides."
977,"As a trainee, I want to limit to one registration per day per authenticated user, so that we don't have duplicate spaces."
978,"As a trainingcoordinator, I want to have an admin view that helps track registration status for each attendee so that, so that we can see if attendend, refunded, no show."
979,"As a attendee, I want to be added to a training waitlist, so that so they can be considered for a class."
980,"As a trainee, I want to must accept the cancellation terms with a checkbox, so that they can be accountable.."
981,"As a trainingcoordinator, I want to tie in a cancellation deadline to whatever registration / cancellation workflow exists, so that so we don't loose money or spots."
982,"As a trainee, I want to add to ""my schedule"" if there is a schedule feature on the site, so that they can schedule their event experience."
983,"As a trainee, I want to see which trainings I have signed up for, so that they can schedule their event experience."
984,"As a trainer, I want to have a view that is attached to their training node that shows all attendee information Trainers can see all class attendance at first because there are so little trainers and they are trusted with privacy, so that the training coordinator doesn't have to do all the work to get login info for environment setup."
985,"As a trainingcoordinator, I want to have an admin view where all trainee information is shown and can be filtered to show a single training session, so that I can see WTF is happening."
986,"As a anonymoususer, I want to have a dedicated page for each class to learn more about the offering The following information must be shown: Logo, title, trainers, location, possibly a map view, datetime, skill level, registrations remaining, link to register for class. The URL path should be SEO friendly /training/training-title, so that I can choose the right class, AND the trainer can tweet and promote their class."
987,"As a anonymoususer, I want to have the training options clearly marked for the following information: day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details of the training, register now link, so that I can shop for training all with one page AND find their class on on one page."
988,"As a anonymoususer, I want to have a training landing page with an intro section and a list of all training offerings and promote call for trainings, so that I can shop for training all with one page and we can have a call for trainings for selection."
989,"As a anonymoususer, I want to have a link on the home page to a list of training options, so that I can take training."
990,"As a anonymoususer, I want to find out where the coding lounge is and what time it is open, so that I can code with my friends."
991,"As a administrator, I want to refund sponsorship money that was processed via stripe, so that people get their monies back."
992,"As a authenticateduser, I want to find a link on the sponsorships page to become a $350 level sponsor, so that I can pay for and become a sponsor role."
993,"As a anonymoususer, I want to See a list of attendees associated with this company, so that I know who from this sponsor organization is attending."
994,"As a authenticateduser, I want to identify myself as and pay for a $350 company sponsorship, so that I can easily become a sponsor at this level without having to interface with badcamp personnel to get a sponsorship."
995,"As a administrator, I want to create and maintain venues, so that I can provide location details to help users find what they're looking for."
996,"As a anonymoususer, I want to view venue details, so that I can get a sense of the location and see the events happening there."
997,"As a anonymoususer, I want to see a list of the sessions associated with sponsor attendees, so that I know where I can engage with this sponsor and where they are thought leaders."
998,"As a authenticateduser, I want to See a payment page to pay for my individual sponsorships as the third step of the registration process so that pay for my sponsorship."
999,"As a administrator, I want to assign sponsors to events, trainings and summits so that They will be featured on the sponsor detail page."
1000,"As a anonymoususer, I want to see all events, trainings and summits that a sponsor is sponsoring so that I know where I can engage with this sponsor and where they are thought leaders."
1001,"As a authenticateduser, I want to Enter payment information and have my card charged for an individual sponsorship, so that I can pay for an individual sponsorship."
1002,"As a sponsor, I want to link BADCamp attendees to my sponsorship page, so that I can show off our level of attendance."
1003,"As a authenticateduser, I want to update my user profile, so that I can connect with other Drupalists at BADCamp."
1004,"As a anonymoususer, I want to sign up for the BADCamp newsletter, so that I can stay up to date with the latest communications about BADCamp."
1005,"As a administrator, I want to tag my blog posts for consumption by Drupal Planet, so that they will be listed on the Drupal Planet blog."
1006,"As a administrator, I want to create blog posts, so that I can share the latest information about BADCamp with the public."
1007,"As a anonymoususer, I want to read the blog, so that I can stay informed about all the latest happenings with BADCamp."
1008,"As a sponsor, I want to sponsor a summit that matches my brand, so that I can get exposure to potential customers and otherwise tout my Drupal credentials."
1009,"As a attendee, I want to register for a summit, so that I can reserve my seat at the summit."
1010,"As a attendee, I want to get detailed directions to the summit venue, so that I can get to the summit easily on the day of the event."
1011,"As a attendee, I want to see what summits I'm signed up for, so that I can confirm my attendence and prevent myself from accidentally double-booking with a training or another summit."
1012,"As a summit coordinator, I want to see a list of attendees signed up for my summit, so that I can communicate with my attendees by email prior to the event."
1013,"As a summit coordinator, I want to list basic information about my summit, so that I can inform potential attendees on why they should attend my summit."
1014,"As a summit coordinator, I want to list sponsors for my summit, so that I can make sure sponsors feel rewarded and will be interested in sponsoring in future years."
1015,"As a summit coordinator, I want to list an agenda for my summit, so that I can entice attendees and give positive feedback to presenters to encourage participation."
1016,"As a anonymoususer, I want to see how many seats are left for the summit, so that I can make sure to register in-time to reserve my spot."
1017,"As a anonymoususer, I want to see specific details on summits, so that I can learn more about the summit I'm interested in to see if it matches my interests, register for the event, and get day-of knowledge to help me get to the location."
1018,"As a anonymoususer, I want to see a list of all the summits, so that I can determine which summit I might be interested and able to attend."
1019,"As a anonymoususer, I want to learn about sponsorship levels, so that I can determine the right level of sponsorship for my organization."
1020,"As a authenticateduser, I want to use a WYSIWYG editor for all long-form content, so that I don't have to know HTML to update my content."
1021,"As a sponsor, I want to Link to my sponsorship profile from my job listings, so that recruits can learn more about my organization."
1022,"As a anonymoususer, I want to learn about posting jobs as a sponsor and contact the sponsorship person, so that I have the opportunty to post my job listing on the BADCamp site."
1023,"As a sponsor, I want to post a job, so that I can hire top-tier Drupal talent."
1024,"As a authenticateduser, I want to view the job board, so that I can look for an interesting Drupal gig!."
1025,"As a administrator, I want to assign a room to a time slot and a location, so that I can populate the schedule ."
1026,"As a anonymoususer, I want to see the schedule, so that I can plan my day and figure out where to go!."
1027,"As a anonymoususer, I want to see the final list of sessions approved, so that I can see what's going on at BADCamp ."
1028,"As a administrator, I want to bulk approve sessions as accepted, so that I can save time."
1029,"As a administrator, I want to mark a session as accepted, so that I can populate the schedule ."
1030,"As a anonymoususer, I want to receive a notification when sessions have been evaluated, so that I know whether I've been accepted or rejected."
1031,"As a anonymoususer, I want to receive a notification when I submit a session, so that know that my session went through ok."
1032,"As a authenticateduser, I want to edit my session, so that if I make a mistake, I can correct it."
1033,"As a anonymoususer, I want to register to speak at BADCamp, so that I submit a session."
1034,"As a authenticateduser, I want to submit a session at BADCAMP, so that I can get my session evaluated."
1035,"As a sponsor, I want to personalize my sponsorship page, so that I can promote my brand."
1036,"As a anonymoususer, I want to see a list of all the summits that include when they are, so that I can determine which summit I want to attend."
1037,"As a authenticateduser, I want to Be offered several choices of idividual sponsorship on the second page of registration, so that I can be awesome and financially support the camp."
1038,"As a anonymoususer, I want to easily find a link in the menu that links to the registration form, so that I can easily register for the camp."
1039,"As a anonymoususer, I want to fill out a user registration form, so that I can register for the camp and get an account on the website."
1040,"As a anonymoususer, I want to find session information, so that I can go to a session."
1041,"As a team member, I want to see the first iteration of beta up on cloud.gov."
1042,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta site to it."
1043,"As a stakeholder, I want to have a decision on whether or not the blog aggregator may work for beta, and if not what will."
1044,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over from prototype to FISMA low."
1045,"As a stakeholder, I want to see the results of user research, so that I can determine if the CMS is right for me."
1046,"As a designer, I want to have a new social media wireframe, so that I can begin implementing design."
1047,"As a team member, I want to have a prioritized list of features and elements of a future social element page, so that I can work with the engineers to determine feasibility."
1048,"As a team member, I want to determine a design direction for the beta social page, so that we can implement a beta site quickly without established brand guidelines."
1049,"As a user researcher, I want to test the user research plan, so that I make sure the in-person interviews are effective and capturing the right information."
1050,"As a user researcher, I want to have the finalized OLPA task script, so that I can begin testing with internal users."
1051,"As a content editor, I want to be able to easily find content, so that I can edit it."
1052,"As a research participant, I want to make sure that the appearance of the prototype does not distract from the workflow, so that I can complete the user interview."
1053,"As a user researcher, I want to have the WIG prototype, so that I can finalize the second task script."
1054,"As a user, I want to add a video to my article."
1055,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for the beta.nsf.gov ATO."
1056,"As a user researcher, I want to have a list of priority workflow candidates that we might test, so that I can make sure we're capturing the priority areas."
1057,"As a team member, I want to understand what the MVP should look like, so that I can begin understanding workflow needs as they pertain to any CMS decision."
1058,"As an NSF administrator, I want to shadow the CMS implementation, so that I can learn as the prototype is developed further."
1059,"As a team member, I want to have an updated acquisitions roadmap, so that I can plan accordingly."
1060,"As an NSF employee, I want to have an updated roadmap document, so that I can see prioritized areas to focus on for the next few months and beyond."
1061,"As a team member, I want to understand how time off overlaps with plans around the user research."
1062,"As a researcher, I want to develop the user research protocol for internal workflows, so that we can begin testing against a CMS prototype."
1063,"As a CMS administrator, I want to have roles, so that I can assign them to my users."
1064,"As an NSF employee, I want to narrow down the universe of CMS options and identify/prioritize key considerations for getting to the next step."
1065,"As an NSF employee, I want to have a final workshop to identify key lessons and features for the content management system decision."
1066,"As a CMS SME, I want to see the webmaster workflow report, so that I can understand how this might impact current direction."
1067,"As an NSF employee, I want to understand work performed, so that I can understand when and what I can use later."
1068,"As a researcher, I want to recruit for the last round of user research, so that we can summarize our findings and synthesize results."
1069,"As a user researcher, I want to continue scheduling interviews for hypothesis #1, so that I can be prepared to test our first prototype."
1070,"As an NSF employee, I want to have high-level strategy recommendations to implement in conjunction with the new CMS."
1071,"As an NSF employee, I want to have editorial-planning recommendations, so that I can understand how they might impact an eventual CMS / future web presence."
1072,"As an NSF employee, I want to know how brand guidelines are developed and maintained, so that I can incorporate them throughout the project."
1073,"As a web recruiter manager, I want to confirm the recruiter is set up and working properly on Science360.gov."
1074,"As an NSF employee, I want to know how visual design directions were developed, so that I can make better design decisions in the future."
1075,"As a team member, I want to know what the first hypothesis is, so that I can start developing a prototype to test."
1076,"As a content designer, I want to develop a better understanding of NSF's content types and editorial plan, so that I can make more informed recommendations going forward."
1077,"As a team member, I want to have a prototype strategy, so that I understand how we will gain understandings from tests that will drive recommendations."
1078,"As a content designer, I want to demonstrate the value of user-centered content design to ensure it's an integral part of our recommendations."
1079,"As a user researcher, I want to know when outreach to lists is successful, so that I can plan on a new release to the next listserv on the priority list."
1080,"As an NSF employee, I want to schedule regular in-person check-ins, so that we can continue to communicate the goals of the project with our stakeholders."
1081,"As a developer, I want to know what the three initial hypotheses are, so that I can plan work around development of prototypes."
1082,"As a workshop attendee, I want to have a summary of what we learned, so that I can understand our next steps and how they apply to me."
1083,"As a designer, I want to know what early indications of hypotheses might be, so that I can start planning for the first prototype."
1084,"As a team member, I want to have a schedule of more coworking slots, so that I can work in tandem with the rest of the team on a more regular basis."
1085,"As an NSF person interested in attending user interviews, I want to know when they are scheduled and the type of user that will be interviewed."
1086,"As an NSF member of the team, I want to have a place where I can access all the related reports and documentation, so that I can refer to it easily now and in the future."
1087,"As a team member, I want to know when the mid-point checkin is and what will be covered, so that I can plan accordingly."
1088,"As an NSF employee, I want to join Github, so that I can participate in the issues as assigned."
1089,"As an NSF employee, I want to learn about how Github is used, so that I can participate in the issues as assigned."
1090,"As a user researcher, I want to begin identifying interview participants, so that I can understand what educators and science influencers need from a future nsf.gov website."
1091,"As a VisualDesigner, I want to concept different styles for the nsf.gov website, so that we can discuss different design concepts with stakeholders."
1092,"As a user researcher, I want to set up a website recruitment test, so that I can see if we can recruit users in real time from the website."
1093,"As a web recruiter manager, I want to confirm the recruiter is set up and working properly, so that I can deploy it on more pages."
1094,"As a VisualDesigner, I want to create a moodboard to aid with visual design concepts for the nsf.gov website, so that we can discuss different design concepts with stakeholders."
1095,"As a workshop attendee, I want to see a summary on major findings from the event."
1096,"As a user researcher, I want to make sure the correct NSF people are invited to user interviews, so that they can observe the interviews and make recommendations accordingly."
1097,"As a user researcher, I want to begin drafting a research plan, so that I can begin recruiting participants."
1098,"As a content editor, I want to be able to add videos from Brightcove."
1099,"As an author, I want to be able to indent / outdent content."
1100,"As a VisualDesigner, I want to demonstrate the value of visual design to the NSF project team, so that visual design is an integral part of a redesign."
1101,"As a team member, I want to know what visual design related tasks we might need to plan for this sprint, so that I can assign tasks as necessary."
1102,"As a team member, I want to have recruiting-email templates ready to go, so that I can start recruiting interviewees ASAP!."
1103,"As an NSF employee, I want to see how the user recruitment form looks and behaves on a sample page, so that I can understand the impact the recruitment will have on the NSF page."
1104,"As a potential research participant, I want to learn about the research and leave my contact information."
1105,"As a team member, I want to have a high-level sense of the project timeline, so that I can plan my work."
1106,"As a site administrator, I want to understand how other similar organizations are handling visual design, so that I can make informed decisions about what appears to work well and what doesn't."
1107,"As a team member, I want to have a platform that allows me to rapidly prototype HTML ideas."
1108,"As a site administrator, I want to understand how other similar organizations are handling content, so that I can make informed decisions about what appears to work well and what doesn't."
1109,"As a user researcher, I want to conduct a user definition workshop with NSF, so that I can better prepare them and the team for future research work."
1110,"As an NSF employee, I want to know where the initial in-person meeting will be, so that I can plan on attending."
1111,"As a designer, I want to have a style guide / design guide / content guide, so that we have a uniform way of delivering product."
1112,"As a team member, I want to know when meetings are, so that I can plan accordingly."
1113,"As a team member, I want to understand how work moves between UX/content > visual design > front end dev for a sprint cycle."
1114,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people."
1115,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone."
1116,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under."
1117,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website."
1118,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly."
1119,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data."
1120,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access. "
1121,"As a Publisher, I want to configure my client, so that I can start publishing data packages."
1122,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there."
1123,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone."
1124,"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space."
1125,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing."
1126,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct."
1127,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on."
1128,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use."
1129,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working."
1130,"As a Publisher, I want to publish a data package in the UI, so that that it is available and published."
1131,"As a Publisher, I want to create a data package in the UI so that it is available and published."
1132,"As a Publisher, I want to be able to restore the deleted data package via cli, so that that it is back visible and available to view, download."
1133,"As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again."
1134,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result."
1135,"As a Consumer, I want to view a data package online, so that I can get a sense of whether this is the dataset I want."
1136,"As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention. "
1137,"As a consumer, I want to view the data package, so that that I can get a sense of whether I want this dataset or not."
1138,"As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results."
1139,"As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case."
1140,"As a Publisher, I want to see real examples of published packages so that I can understand how useful and simple the datapackage format and the registry is."
1141,"As a Consumer, I want to see some example data packages quickly, so that I get a sense of what is on this site and if it is useful to look further."
1142,"As a Consumer, I want to search data packages, so that that I can find the ones I want."
1143,"As a Consumer, I want to search based on description of data package, so that that I can find package which related to some key words."
1144,"As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand."
1145,"As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework."
1146,"As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it."
1147,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights."
1148,"As a Data Analyst, I want to update previously downloaded data package, so that that I can work with the most recent data."
1149,"As a Consumer, I want to download a DataPackage's data one coherent SQLite database, so that that I can get it easily in one form."
1150,"As a Data Analyst, I want to compare different versions of some datapackage locally, so that that I can see schema changes clearly and adjust my analytics code to the desired schema version."
1151,"As a Web Developer, I want to be able to install multiple versions of the same datapackage separately, so that that all my projects could be developed independently and deployed locally."
1152,"As a Developer, I want to list all DataPackages requirements for my project in the file and pin the exact versions of any DataPackage that my project depends on, so that that the project can be deterministically deployed locally and won't break because of the DataPackage schema changes. "
1153,"As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it."
1154,"As a Publisher, I want to be warned that a tag exists when I try to overwrite it, so that that I don't accidentally overwrite stable tagged data which is relied on by consumers."
1155,"As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up."
1156,"As a Publisher, I want to version my Data Package and keep multiple versions around including older versions, so that that I do not break consumer systems when I change my datapackage."
1157,"As a Publisher, I want to be able to get access to a previous version I tagged, so that that I can return to it and review it. "
1158,"As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it."
1159,"As a Consumer, I want to get a sense of the age of the datapackage that I have downloaded before, so that that I can decide if I should update or not."
1160,"As a Consumer, I want to view a Datapackage at a particular version online, so that that I can present/discuss the particular data timeslice of interest with other people."
